F
1185	1186	1230
17	16	6
17	18	39
17	39	38
17	38	16
17	6	7
17	7	18
211	251	250
211	250	210
291	292	333
291	250	251
291	251	292
133	132	97
209	210	249
209	208	171
209	172	210
209	171	172
169	170	207
169	133	170
169	132	133
248	209	249
248	208	209
15	16	37
15	14	4
15	5	16
15	4	5
12	1	2
12	2	13
12	13	34
12	11	1
12	33	11
12	34	33
32	10	11
32	11	33
64	33	34
67	37	68
36	67	66
36	37	67
36	14	15
36	15	37
35	34	13
35	36	66
35	13	14
35	14	36
65	66	99
65	64	34
65	34	35
65	35	66
70	71	104
70	69	39
70	104	103
70	103	69
105	104	71
105	140	104
105	141	140
105	106	141
72	73	106
72	106	105
72	105	71
40	39	18
40	70	39
40	71	70
1665	1666	1676
1673	1674	1679
1673	1679	1672
1409	1368	1369
1409	1369	1410
1409	1449	1448
1409	1410	1449
1655	1669	1654
1655	1654	1637
1653	1668	1667
1653	1654	1668
1554	1553	1519
596	640	595
824	778	825
1103	1148	1102
1103	1058	1104
1103	1102	1057
1103	1057	1058
1059	1104	1058
1059	1013	1060
1145	1099	1100
1145	1100	1146
1191	1145	1146
1105	1150	1104
1105	1059	1060
1105	1104	1059
1061	1062	1107
1061	1015	1062
1061	1060	1014
1061	1014	1015
1149	1194	1148
1149	1104	1150
1149	1150	1195
1149	1195	1194
1149	1148	1103
1149	1103	1104
1151	1197	1196
1151	1196	1150
1151	1150	1105
1481	1443	1482
1481	1480	1443
1481	1516	1480
142	141	106
142	106	107
142	107	143
178	177	140
178	140	141
178	141	142
178	142	179
147	148	184
147	112	148
147	111	112
147	184	146
147	146	111
77	110	76
77	111	110
472	516	515
301	343	300
385	429	428
385	428	384
1162	1207	1161
1206	1161	1207
1211	1210	1165
1119	1120	1165
1074	1120	1119
1074	1027	1028
1173	1172	1127
1218	1172	1173
1218	1173	1174
1081	1125	1080
1124	1169	1168
1124	1125	1169
1124	1080	1125
1126	1127	1172
1126	1081	1127
1126	1125	1081
896	897	942
943	988	942
943	942	897
981	980	934
981	1027	980
981	1028	1027
981	982	1028
1649	1650	1664
1649	1664	1648
1626	1649	1625
1632	1633	1650
1662	1663	1675
1661	1662	1675
1508	1509	1544
1508	1544	1543
1508	1471	1509
1577	1544	1578
1577	1543	1544
1605	1574	1606
1605	1606	1633
1289	1247	1290
1289	1290	1331
1289	1331	1288
1287	1330	1329
